techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
LQHtransmission148_to_LQHtransmission685_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission685,LQHtransmission148
LQHtransmission685_to_LQHtransmission297_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission297,LQHtransmission685
LQHtransmission297_to_LQHtransmission540_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission540,LQHtransmission297
LQHtransmission655_to_LQHtransmission115_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission115,LQHtransmission655
LQHtransmission115_to_LQHtransmission496_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission496,LQHtransmission115
LQHtransmission496_to_LQHtransmission417_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission417,LQHtransmission496
LQHtransmission417_to_LQHtransmission813_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission813,LQHtransmission417
LQHtransmission813_to_LQHtransmission834_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission834,LQHtransmission813
LQHtransmission834_to_LQHtransmission455_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission455,LQHtransmission834
LQHtransmission455_to_LQHtransmission611_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission611,LQHtransmission455
LQHtransmission586_to_LQHtransmission474_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission474,LQHtransmission586
LQHtransmission474_to_LQHtransmission37_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission37,LQHtransmission474
LQHtransmission37_to_LQHtransmission562_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission562,LQHtransmission37
LQHtransmission562_to_LQHtransmission172_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission172,LQHtransmission562
LQHtransmission172_to_LQHtransmission615_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission615,LQHtransmission172
LQHtransmission615_to_LQHtransmission837_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission837,LQHtransmission615
LQHtransmission837_to_LQHtransmission413_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission413,LQHtransmission837
LQHtransmission413_to_LQHtransmission49_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission49,LQHtransmission413
LQHtransmission49_to_LQHtransmission69_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission69,LQHtransmission49
LQHtransmission601_to_LQHtransmission787_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission787,LQHtransmission601
LQHtransmission758_to_LQHtransmission336_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission336,LQHtransmission758
