techs,carrier_out,carrier_in
transmission1148_to_transmission1074_electricity,1,1
transmission1074_to_transmission2465_electricity,1,1
transmission2465_to_transmission1603_electricity,1,1
transmission2749_to_transmission1377_electricity,1,1
transmission2463_to_transmission1054_electricity,1,1
transmission1054_to_transmission1897_electricity,1,1
transmission526_to_transmission1335_electricity,1,1
transmission2023_to_transmission2618_electricity,1,1
transmission2618_to_transmission1567_electricity,1,1
transmission2486_to_transmission582_electricity,1,1
transmission1044_to_transmission2743_electricity,1,1
transmission2743_to_transmission608_electricity,1,1
transmission567_to_transmission2743_electricity,1,1
transmission286_to_transmission567_electricity,1,1
transmission567_to_transmission1216_electricity,1,1
transmission2057_to_transmission1652_electricity,1,1
transmission1652_to_transmission893_electricity,1,1
transmission1636_to_transmission1914_electricity,1,1
transmission1914_to_transmission586_electricity,1,1
transmission586_to_transmission209_electricity,1,1
transmission209_to_transmission652_electricity,1,1
transmission652_to_transmission1661_electricity,1,1
transmission2040_to_transmission516_electricity,1,1
transmission349_to_transmission2040_electricity,1,1
transmission2040_to_transmission213_electricity,1,1
transmission1531_to_transmission349_electricity,1,1
transmission349_to_transmission1522_electricity,1,1
transmission1286_to_transmission957_electricity,1,1
transmission957_to_transmission941_electricity,1,1
transmission1996_to_transmission957_electricity,1,1
transmission1699_to_transmission1965_electricity,1,1
transmission2556_to_transmission1037_electricity,1,1
transmission1037_to_transmission1241_electricity,1,1
transmission2408_to_transmission819_electricity,1,1
transmission819_to_transmission1315_electricity,1,1
transmission1315_to_transmission90_electricity,1,1
transmission1847_to_transmission1162_electricity,1,1
transmission733_to_transmission1721_electricity,1,1
transmission1556_to_transmission563_electricity,1,1
transmission2641_to_transmission2456_electricity,1,1
transmission1707_to_transmission1724_electricity,1,1
transmission1724_to_transmission2054_electricity,1,1
transmission2054_to_transmission925_electricity,1,1
transmission925_to_transmission476_electricity,1,1
transmission476_to_transmission2641_electricity,1,1
transmission2641_to_transmission259_electricity,1,1
transmission259_to_transmission1771_electricity,1,1
transmission1771_to_transmission2097_electricity,1,1
transmission2097_to_transmission563_electricity,1,1
transmission563_to_transmission2637_electricity,1,1
transmission2637_to_transmission1511_electricity,1,1
transmission1511_to_transmission1707_electricity,1,1
transmission2801_to_transmission848_electricity,1,1
transmission848_to_transmission1499_electricity,1,1
transmission1499_to_transmission2140_electricity,1,1
transmission2140_to_transmission131_electricity,1,1
transmission131_to_transmission1925_electricity,1,1
transmission1925_to_transmission1556_electricity,1,1
transmission1556_to_transmission1310_electricity,1,1
transmission1310_to_transmission2352_electricity,1,1
transmission2352_to_transmission1036_electricity,1,1
transmission1253_to_transmission2140_electricity,1,1
transmission1144_to_transmission1353_electricity,1,1
transmission1353_to_transmission1249_electricity,1,1
transmission345_to_transmission2480_electricity,1,1
transmission2480_to_transmission139_electricity,1,1
transmission139_to_transmission1144_electricity,1,1
transmission1144_to_transmission2735_electricity,1,1
transmission2735_to_transmission1953_electricity,1,1
transmission1953_to_transmission2315_electricity,1,1
transmission2315_to_transmission345_electricity,1,1
transmission236_to_transmission2417_electricity,1,1
transmission2417_to_transmission2606_electricity,1,1
transmission2606_to_transmission2234_electricity,1,1
transmission2606_to_transmission2093_electricity,1,1
transmission252_to_transmission2508_electricity,1,1
transmission2508_to_transmission1875_electricity,1,1
transmission601_to_transmission2702_electricity,1,1
transmission2702_to_transmission1986_electricity,1,1
transmission1986_to_transmission2791_electricity,1,1
transmission2791_to_transmission845_electricity,1,1
transmission845_to_transmission2053_electricity,1,1
transmission2053_to_transmission172_electricity,1,1
transmission172_to_transmission1875_electricity,1,1
transmission1875_to_transmission1916_electricity,1,1
transmission1916_to_transmission958_electricity,1,1
transmission958_to_transmission660_electricity,1,1
transmission660_to_transmission601_electricity,1,1
transmission2072_to_transmission375_electricity,1,1
transmission2353_to_transmission499_electricity,1,1
transmission2756_to_transmission1074_electricity,1,1
transmission1286_to_transmission188_electricity,1,1
transmission188_to_transmission888_electricity,1,1
transmission888_to_transmission1606_electricity,1,1
transmission1207_to_transmission1316_electricity,1,1
transmission1316_to_transmission1868_electricity,1,1
transmission1270_to_transmission1557_electricity,1,1
