techs,carrier_out,carrier_in
transmission2210_to_transmission655_heat,1,1
transmission655_to_transmission2180_heat,1,1
transmission2180_to_transmission2127_heat,1,1
transmission2127_to_transmission443_heat,1,1
transmission443_to_transmission2764_heat,1,1
transmission2764_to_transmission403_heat,1,1
transmission403_to_transmission2775_heat,1,1
transmission2775_to_transmission1024_heat,1,1
transmission1024_to_transmission746_heat,1,1
transmission746_to_transmission933_heat,1,1
transmission933_to_transmission1066_heat,1,1
transmission1066_to_transmission1230_heat,1,1
transmission1230_to_transmission2294_heat,1,1
transmission2294_to_transmission595_heat,1,1
transmission595_to_transmission2708_heat,1,1
transmission2708_to_transmission1179_heat,1,1
transmission1179_to_transmission1837_heat,1,1
transmission299_to_transmission199_heat,1,1
transmission199_to_transmission1384_heat,1,1
transmission1384_to_transmission1013_heat,1,1
transmission1013_to_transmission1861_heat,1,1
transmission1861_to_transmission2056_heat,1,1
transmission2056_to_transmission305_heat,1,1
transmission305_to_transmission1157_heat,1,1
transmission1157_to_transmission163_heat,1,1
transmission163_to_transmission988_heat,1,1
transmission988_to_transmission841_heat,1,1
transmission841_to_transmission1312_heat,1,1
transmission1312_to_transmission744_heat,1,1
transmission744_to_transmission226_heat,1,1
transmission226_to_transmission945_heat,1,1
transmission945_to_transmission787_heat,1,1
transmission787_to_transmission1266_heat,1,1
transmission1266_to_transmission764_heat,1,1
transmission2184_to_transmission1943_heat,1,1
transmission1943_to_transmission2342_heat,1,1
transmission2342_to_transmission2792_heat,1,1
transmission2792_to_transmission977_heat,1,1
transmission977_to_transmission719_heat,1,1
transmission719_to_transmission438_heat,1,1
transmission438_to_transmission142_heat,1,1
transmission142_to_transmission538_heat,1,1
transmission538_to_transmission2289_heat,1,1
transmission2289_to_transmission720_heat,1,1
transmission720_to_transmission1195_heat,1,1
transmission1195_to_transmission520_heat,1,1
transmission520_to_transmission1252_heat,1,1
transmission1252_to_transmission2535_heat,1,1
transmission2535_to_transmission149_heat,1,1
transmission149_to_transmission918_heat,1,1
transmission918_to_transmission2801_heat,1,1
transmission2801_to_transmission239_heat,1,1
transmission239_to_transmission166_heat,1,1
transmission166_to_transmission1897_heat,1,1
transmission1581_to_transmission2410_heat,1,1
transmission2410_to_transmission1173_heat,1,1
