results_summary_supply_geothermal_capacity_adjusted_kW,run_id,result_type,combined_energy_supply_kW,technology_parameters_heat_pump_cop,results_summary_heat_pump_capacity_kW,topology_source,scenario,results_summary_total_heat_demand_kW,geothermal_heat_div_cop,year,neighborhood,lv_electricity_supply
5760.635667787352,20260121_202912,sensitivity,174.56471720567734,4.0,0.0,stedin,district_heating,4735.97523464146,174.56471720567734,2019,multatulibuurt,0.0
6389.700950077652,20260121_202912,sensitivity,193.6273015175046,4.0,0.0,stedin,district_heating,4735.97523464146,193.6273015175046,2019,multatulibuurt,0.0
5245.407775805386,20260121_202912,sensitivity,158.95175078198142,4.0,0.0,stedin,district_heating,4735.97523464146,158.95175078198142,2019,multatulibuurt,0.0
5760.339704227906,20260121_202912,sensitivity,174.55574861296685,4.0,0.0,stedin,district_heating,4735.97523464146,174.55574861296685,2019,multatulibuurt,0.0
5760.339704227906,20260121_202912,sensitivity,174.55574861296685,4.0,0.0,stedin,district_heating,4735.97523464146,174.55574861296685,2019,multatulibuurt,0.0
5732.135541013976,20260121_202912,sensitivity,173.7010770004235,4.0,0.0,stedin,district_heating,4735.97523464146,173.7010770004235,2019,multatulibuurt,0.0
5788.5438674418365,20260121_202912,sensitivity,175.4104202255102,4.0,0.0,stedin,district_heating,4735.97523464146,175.4104202255102,2019,multatulibuurt,0.0
5748.338216692783,20260121_202912,sensitivity,174.1920671725086,4.0,0.0,stedin,district_heating,4735.97523464146,174.1920671725086,2019,multatulibuurt,0.0
5772.341191763029,20260121_202912,sensitivity,174.91943005342512,4.0,0.0,stedin,district_heating,4735.97523464146,174.91943005342512,2019,multatulibuurt,0.0
5750.701648841443,20260121_202912,sensitivity,174.26368632852856,4.0,0.0,stedin,district_heating,4735.97523464146,174.26368632852856,2019,multatulibuurt,0.0
5769.9777596143695,20260121_202912,sensitivity,174.84781089740514,4.0,0.0,stedin,district_heating,4735.97523464146,174.84781089740514,2019,multatulibuurt,0.0
5732.135541013976,20260121_202912,sensitivity,173.7010770004235,4.0,0.0,stedin,district_heating,4735.97523464146,173.7010770004235,2019,multatulibuurt,0.0
5788.5438674418365,20260121_202912,sensitivity,175.4104202255102,4.0,0.0,stedin,district_heating,4735.97523464146,175.4104202255102,2019,multatulibuurt,0.0
5748.338216692783,20260121_202912,sensitivity,174.1920671725086,4.0,0.0,stedin,district_heating,4735.97523464146,174.1920671725086,2019,multatulibuurt,0.0
5772.341191763029,20260121_202912,sensitivity,174.91943005342512,4.0,0.0,stedin,district_heating,4735.97523464146,174.91943005342512,2019,multatulibuurt,0.0
,20260121_202912,sensitivity,1252.8687832784651,4.0,4735.97523464146,stedin,full_electrification,4735.97523464146,0.0,2019,multatulibuurt,1252.8687832784651
,20260121_202912,sensitivity,1252.7975656806454,4.0,4735.975234641459,stedin,full_electrification,4735.975234641459,0.0,2019,multatulibuurt,1252.7975656806454
,20260121_202912,sensitivity,1706.2537534746898,3.0,4735.97523464146,stedin,full_electrification,4735.97523464146,0.0,2019,multatulibuurt,1706.2537534746898
,20260121_202912,sensitivity,896.101376818733,5.5,4735.97523464146,stedin,full_electrification,4735.97523464146,0.0,2019,multatulibuurt,896.101376818733
,20260121_202912,sensitivity,1245.093543628227,4.0,4735.97523464146,stedin,full_electrification,4735.97523464146,0.0,2019,multatulibuurt,1245.093543628227
,20260121_202912,sensitivity,1260.25073513906,4.0,4735.97523464146,stedin,full_electrification,4735.97523464146,0.0,2019,multatulibuurt,1260.25073513906
,20260121_202912,sensitivity,1252.3813838398405,4.0,4735.97523464146,stedin,full_electrification,4735.97523464146,0.0,2019,multatulibuurt,1252.3813838398405
,20260121_202912,sensitivity,1252.759854546413,4.0,4735.97523464146,stedin,full_electrification,4735.97523464146,0.0,2019,multatulibuurt,1252.759854546413
,20260121_202912,sensitivity,1245.003938726962,4.0,4735.97523464146,stedin,full_electrification,4735.97523464146,0.0,2019,multatulibuurt,1245.003938726962
,20260121_202912,sensitivity,1260.345303594746,4.0,4735.97523464146,stedin,full_electrification,4735.97523464146,0.0,2019,multatulibuurt,1260.345303594746
,20260121_202912,sensitivity,1252.3790855311106,4.0,4735.97523464146,stedin,full_electrification,4735.97523464146,0.0,2019,multatulibuurt,1252.3790855311106
,20260121_202912,sensitivity,1252.7621530478907,4.0,4735.97523464146,stedin,full_electrification,4735.97523464146,0.0,2019,multatulibuurt,1252.7621530478907
