techs,name,capacity_kw,distance_m,environmental_impact_per_kW,environmental_impact
TH54_TH53_interp_1_to_TH54_TH53_interp_2,Interpolated Heat transmission,180.21522255190555,1.2700937692690433,,
TH54_TH53_interp_6_to_TH54_TH53_interp_7,Interpolated Heat transmission,200.24966059570625,1.2700939145814694,,
TH54_TH53_interp_3_to_TH54_TH53_interp_4,Interpolated Heat transmission,200.23424636994574,1.2700938274642508,,
TH54_TH53_interp_4_to_TH54_TH53_interp_5,Interpolated Heat transmission,200.23938431324174,1.2700938574468268,,
TH54_TH53_interp_5_to_TH54_TH53_interp_6,Interpolated Heat transmission,200.244522388497,1.2700938853059074,,
TH53_TH52_interp_2_to_TH53_TH52_interp_3,Interpolated Heat transmission,210.2848416746039,0.7617850961849798,,
TH54_TH53_interp_7_to_TH54_TH53_interp_8,Interpolated Heat transmission,200.25479893487858,1.27009394385518,,
TH54_TH53_interp_8_to_TH54_TH53_interp_9,Interpolated Heat transmission,200.25993740601737,1.2700939731294276,,
TH54_TH53_interp_9_to_TH54_TH53_interp_10,Interpolated Heat transmission,200.2650760091261,1.2700940009891535,,
TH55_TH54_interp_1_to_TH55_TH54_interp_2,Interpolated Heat transmission,140.15748958546277,1.0554332377712228,,
TH54_to_TH54_TH53_interp_1,Interpolated Heat transmission,180.21059840898414,1.270093741054495,,
TH55_TH54_interp_10_to_TH54,Interpolated Heat transmission,180.20675588926608,1.0554334008470247,,
TH54_TH53_interp_2_to_TH54_TH53_interp_3,Interpolated Heat transmission,180.21984681358364,1.270093797482989,,
TH53_TH52_interp_1_to_TH53_TH52_interp_2,Interpolated Heat transmission,210.2816053903225,0.7617850858603337,,
TH52_TH73_interp_8_to_TH52_TH73_interp_9,Interpolated Heat transmission,110.0949245860274,1.2319329727047457,,
TH52_to_TH52_TH73_interp_1,Interpolated Heat transmission,110.11684744841907,1.2319335230132145,,
TH51_to_TH51_TH50_interp_1,Interpolated Heat transmission,350.52292342475374,0.9330357663027241,,
TH52_TH51_interp_10_to_TH51,Interpolated Heat transmission,350.51551082358014,1.0467650865195628,,
TH52_TH51_interp_1_to_TH52_TH51_interp_2,Interpolated Heat transmission,330.44443049858205,1.0467649222985405,,
TH52_TH51_interp_2_to_TH52_TH51_interp_3,Interpolated Heat transmission,330.45141864122735,1.046764940151129,,
TH52_TH51_interp_3_to_TH52_TH51_interp_4,Interpolated Heat transmission,330.458406931775,1.0467649590662391,,
TH52_TH51_interp_4_to_TH52_TH51_interp_5,Interpolated Heat transmission,340.46889245199105,1.046764976212631,,
TH52_TH51_interp_5_to_TH52_TH51_interp_6,Interpolated Heat transmission,340.4760925894111,1.0467649933610725,,
TH52_TH51_interp_6_to_TH52_TH51_interp_7,Interpolated Heat transmission,340.4832928792156,1.0467650133360458,,
TH52_TH51_interp_7_to_TH52_TH51_interp_8,Interpolated Heat transmission,340.4904933214271,1.0467650318962913,,
TH52_TH51_interp_8_to_TH52_TH51_interp_9,Interpolated Heat transmission,340.49769391603917,1.0467650497503007,,
TH52_TH51_interp_9_to_TH52_TH51_interp_10,Interpolated Heat transmission,350.5080983793093,1.0467650658362604,,
TH52_TH73_interp_10_to_TH73,Interpolated Heat transmission,100.0876420674737,1.2319328349952505,,
TH52_TH73_interp_1_to_TH52_TH73_interp_2,Interpolated Heat transmission,110.11410685136755,1.231933454246768,,
TH52_TH73_interp_2_to_TH52_TH73_interp_3,Interpolated Heat transmission,110.11136632267802,1.231933385126508,,
TH52_TH73_interp_3_to_TH52_TH73_interp_4,Interpolated Heat transmission,110.10862586234637,1.2319333170676692,,
TH52_TH73_interp_4_to_TH52_TH73_interp_5,Interpolated Heat transmission,110.10588547037327,1.2319332479474263,,
TH52_TH73_interp_5_to_TH52_TH73_interp_6,Interpolated Heat transmission,110.103145146757,1.231933178827098,,
TH52_TH73_interp_6_to_TH52_TH73_interp_7,Interpolated Heat transmission,110.10040489149507,1.2319331100607376,,
TH52_TH73_interp_7_to_TH52_TH73_interp_8,Interpolated Heat transmission,110.09766470458618,1.2319330411171807,,
TH52_TH73_interp_9_to_TH52_TH73_interp_10,Interpolated Heat transmission,110.0921845358206,1.2319329027005066,,
TH52_to_TH52_TH51_interp_1,Interpolated Heat transmission,330.4374425038502,1.0467649023229795,,
TH53_TH52_interp_10_to_TH52,Interpolated Heat transmission,220.31446369728093,0.7617851671153972,,
