techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
LQHtransmission1431_to_LQHtransmission733_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission733,LQHtransmission1431,
LQHtransmission733_to_LQHtransmission2740_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2740,LQHtransmission733,
LQHtransmission2740_to_LQHtransmission1003_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1003,LQHtransmission2740,
LQHtransmission1003_to_LQHtransmission964_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission964,LQHtransmission1003,
LQHtransmission964_to_LQHtransmission1246_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1246,LQHtransmission964,
LQHtransmission1246_to_LQHtransmission2669_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2669,LQHtransmission1246,
LQHtransmission2669_to_LQHtransmission1790_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1790,LQHtransmission2669,
LQHtransmission1790_to_LQHtransmission1188_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1188,LQHtransmission1790,
LQHtransmission1355_to_LQHtransmission2449_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2449,LQHtransmission1355,
LQHtransmission2449_to_LQHtransmission1938_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1938,LQHtransmission2449,
LQHtransmission1938_to_LQHtransmission2536_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2536,LQHtransmission1938,
LQHtransmission2174_to_LQHtransmission4_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission4,LQHtransmission2174,
LQHtransmission4_to_LQHtransmission2077_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2077,LQHtransmission4,
LQHtransmission2077_to_LQHtransmission2391_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2391,LQHtransmission2077,
LQHtransmission2391_to_LQHtransmission346_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission346,LQHtransmission2391,
LQHtransmission1498_to_LQHtransmission2566_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2566,LQHtransmission1498,
LQHtransmission2566_to_LQHtransmission1266_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1266,LQHtransmission2566,
LQHtransmission1266_to_LQHtransmission433_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission433,LQHtransmission1266,
LQHtransmission433_to_LQHtransmission1161_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1161,LQHtransmission433,
LQHtransmission1355_to_LQHtransmission693_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission693,LQHtransmission1355,
LQHtransmission693_to_LQHtransmission789_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission789,LQHtransmission693,
LQHtransmission789_to_LQHtransmission61_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission61,LQHtransmission789,
LQHtransmission61_to_LQHtransmission113_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission113,LQHtransmission61,
LQHtransmission113_to_LQHtransmission185_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission185,LQHtransmission113,
