techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
LQHtransmission2151_to_LQHtransmission338_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission338,LQHtransmission2151,
LQHtransmission338_to_LQHtransmission2434_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2434,LQHtransmission338,
LQHtransmission2434_to_LQHtransmission2500_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2500,LQHtransmission2434,
LQHtransmission2500_to_LQHtransmission2168_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2168,LQHtransmission2500,
LQHtransmission2168_to_LQHtransmission839_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission839,LQHtransmission2168,
LQHtransmission839_to_LQHtransmission1785_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1785,LQHtransmission839,
LQHtransmission1785_to_LQHtransmission710_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission710,LQHtransmission1785,
LQHtransmission710_to_LQHtransmission1263_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1263,LQHtransmission710,
LQHtransmission1263_to_LQHtransmission1142_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1142,LQHtransmission1263,
LQHtransmission1142_to_LQHtransmission1109_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1109,LQHtransmission1142,
LQHtransmission1109_to_LQHtransmission188_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission188,LQHtransmission1109,
LQHtransmission188_to_LQHtransmission2338_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2338,LQHtransmission188,
LQHtransmission2338_to_LQHtransmission1939_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1939,LQHtransmission2338,
LQHtransmission1939_to_LQHtransmission2342_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2342,LQHtransmission1939,
LQHtransmission2342_to_LQHtransmission1125_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1125,LQHtransmission2342,
LQHtransmission1125_to_LQHtransmission1759_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1759,LQHtransmission1125,
LQHtransmission1759_to_LQHtransmission648_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission648,LQHtransmission1759,
LQHtransmission648_to_LQHtransmission332_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission332,LQHtransmission648,
LQHtransmission332_to_LQHtransmission2370_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2370,LQHtransmission332,
LQHtransmission1625_to_LQHtransmission1314_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1314,LQHtransmission1625,
LQHtransmission1314_to_LQHtransmission528_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission528,LQHtransmission1314,
LQHtransmission528_to_LQHtransmission23_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission23,LQHtransmission528,
LQHtransmission23_to_LQHtransmission1189_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1189,LQHtransmission23,
LQHtransmission619_to_LQHtransmission1599_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1599,LQHtransmission619,
LQHtransmission1599_to_LQHtransmission2474_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2474,LQHtransmission1599,
LQHtransmission2474_to_LQHtransmission1672_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1672,LQHtransmission2474,
LQHtransmission1535_to_LQHtransmission2240_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2240,LQHtransmission1535,
LQHtransmission2478_to_LQHtransmission2146_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2146,LQHtransmission2478,
LQHtransmission2490_to_LQHtransmission55_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission55,LQHtransmission2490,
LQHtransmission55_to_LQHtransmission1921_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1921,LQHtransmission55,
LQHtransmission1921_to_LQHtransmission2280_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2280,LQHtransmission1921,
LQHtransmission2280_to_LQHtransmission289_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission289,LQHtransmission2280,
LQHtransmission289_to_LQHtransmission1779_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1779,LQHtransmission289,
