techs,cost_flow_cap_per_distance
LQHtransmission1280_to_LQHtransmission285_heat,100
LQHtransmission285_to_LQHtransmission1782_heat,100
LQHtransmission1782_to_LQHtransmission736_heat,100
LQHtransmission736_to_LQHtransmission5_heat,100
LQHtransmission5_to_LQHtransmission948_heat,100
LQHtransmission948_to_LQHtransmission1604_heat,100
LQHtransmission1604_to_LQHtransmission195_heat,100
LQHtransmission195_to_LQHtransmission1315_heat,100
LQHtransmission1315_to_LQHtransmission1008_heat,100
LQHtransmission1008_to_LQHtransmission643_heat,100
LQHtransmission643_to_LQHtransmission265_heat,100
LQHtransmission265_to_LQHtransmission473_heat,100
LQHtransmission473_to_LQHtransmission650_heat,100
LQHtransmission650_to_LQHtransmission649_heat,100
LQHtransmission649_to_LQHtransmission1002_heat,100
LQHtransmission1002_to_LQHtransmission961_heat,100
LQHtransmission961_to_LQHtransmission1276_heat,100
LQHtransmission1276_to_LQHtransmission1751_heat,100
LQHtransmission1500_to_LQHtransmission1883_heat,100
LQHtransmission1883_to_LQHtransmission1973_heat,100
LQHtransmission1973_to_LQHtransmission1638_heat,100
LQHtransmission1638_to_LQHtransmission1958_heat,100
LQHtransmission1958_to_LQHtransmission1144_heat,100
LQHtransmission1979_to_LQHtransmission2007_heat,100
LQHtransmission2007_to_LQHtransmission1679_heat,100
LQHtransmission1679_to_LQHtransmission7_heat,100
LQHtransmission7_to_LQHtransmission1763_heat,100
LQHtransmission1763_to_LQHtransmission879_heat,100
LQHtransmission879_to_LQHtransmission420_heat,100
LQHtransmission420_to_LQHtransmission309_heat,100
LQHtransmission309_to_LQHtransmission59_heat,100
LQHtransmission746_to_LQHtransmission1845_heat,100
LQHtransmission1845_to_LQHtransmission1571_heat,100
LQHtransmission1571_to_LQHtransmission535_heat,100
LQHtransmission535_to_LQHtransmission300_heat,100
LQHtransmission300_to_LQHtransmission1399_heat,100
LQHtransmission380_to_LQHtransmission1156_heat,100
LQHtransmission1156_to_LQHtransmission1299_heat,100
LQHtransmission1299_to_LQHtransmission857_heat,100
LQHtransmission857_to_LQHtransmission582_heat,100
LQHtransmission582_to_LQHtransmission1187_heat,100
LQHtransmission1187_to_LQHtransmission647_heat,100
LQHtransmission647_to_LQHtransmission1487_heat,100
LQHtransmission1487_to_LQHtransmission540_heat,100
LQHtransmission540_to_LQHtransmission1588_heat,100
LQHtransmission1588_to_LQHtransmission1363_heat,100
LQHtransmission1363_to_LQHtransmission1615_heat,100
LQHtransmission1615_to_LQHtransmission1172_heat,100
LQHtransmission1172_to_LQHtransmission569_heat,100
LQHtransmission569_to_LQHtransmission1715_heat,100
LQHtransmission1715_to_LQHtransmission874_heat,100
LQHtransmission874_to_LQHtransmission938_heat,100
LQHtransmission938_to_LQHtransmission1671_heat,100
LQHtransmission1671_to_LQHtransmission661_heat,100
LQHtransmission661_to_LQHtransmission62_heat,100
LQHtransmission62_to_LQHtransmission1245_heat,100
LQHtransmission1245_to_LQHtransmission1247_heat,100
LQHtransmission1247_to_LQHtransmission1100_heat,100
LQHtransmission1100_to_LQHtransmission282_heat,100
LQHtransmission282_to_LQHtransmission568_heat,100
LQHtransmission568_to_LQHtransmission176_heat,100
LQHtransmission176_to_LQHtransmission1714_heat,100
LQHtransmission1714_to_LQHtransmission1568_heat,100
LQHtransmission1568_to_LQHtransmission574_heat,100
LQHtransmission574_to_LQHtransmission788_heat,100
LQHtransmission788_to_LQHtransmission170_heat,100
LQHtransmission170_to_LQHtransmission903_heat,100
LQHtransmission903_to_LQHtransmission546_heat,100
LQHtransmission546_to_LQHtransmission771_heat,100
LQHtransmission771_to_LQHtransmission1956_heat,100
LQHtransmission1956_to_LQHtransmission447_heat,100
LQHtransmission447_to_LQHtransmission1823_heat,100
LQHtransmission1823_to_LQHtransmission1007_heat,100
LQHtransmission1007_to_LQHtransmission1198_heat,100
LQHtransmission1198_to_LQHtransmission184_heat,100
LQHtransmission184_to_LQHtransmission1364_heat,100
LQHtransmission1364_to_LQHtransmission214_heat,100
LQHtransmission214_to_LQHtransmission577_heat,100
LQHtransmission577_to_LQHtransmission511_heat,100
LQHtransmission511_to_LQHtransmission1019_heat,100
LQHtransmission1019_to_LQHtransmission24_heat,100
LQHtransmission24_to_LQHtransmission405_heat,100
LQHtransmission405_to_LQHtransmission1999_heat,100
LQHtransmission1829_to_LQHtransmission658_heat,100
LQHtransmission658_to_LQHtransmission1256_heat,100
LQHtransmission1256_to_LQHtransmission69_heat,100
LQHtransmission69_to_LQHtransmission1576_heat,100
LQHtransmission1576_to_LQHtransmission529_heat,100
LQHtransmission529_to_LQHtransmission223_heat,100
LQHtransmission223_to_LQHtransmission1120_heat,100
LQHtransmission1120_to_LQHtransmission1310_heat,100
LQHtransmission1310_to_LQHtransmission704_heat,100
LQHtransmission704_to_LQHtransmission845_heat,100
LQHtransmission845_to_LQHtransmission624_heat,100
LQHtransmission624_to_LQHtransmission60_heat,100
LQHtransmission60_to_LQHtransmission84_heat,100
LQHtransmission84_to_LQHtransmission1710_heat,100
LQHtransmission1710_to_LQHtransmission885_heat,100
LQHtransmission885_to_LQHtransmission900_heat,100
LQHtransmission768_to_LQHtransmission502_heat,100
LQHtransmission502_to_LQHtransmission1076_heat,100
LQHtransmission1076_to_LQHtransmission1047_heat,100
LQHtransmission1047_to_LQHtransmission331_heat,100
LQHtransmission331_to_LQHtransmission1854_heat,100
LQHtransmission1854_to_LQHtransmission965_heat,100
LQHtransmission965_to_LQHtransmission41_heat,100
LQHtransmission1557_to_LQHtransmission1964_heat,100
LQHtransmission1964_to_LQHtransmission1926_heat,100
LQHtransmission1926_to_LQHtransmission1114_heat,100
LQHtransmission1114_to_LQHtransmission840_heat,100
LQHtransmission840_to_LQHtransmission983_heat,100
LQHtransmission983_to_LQHtransmission653_heat,100
LQHtransmission653_to_LQHtransmission306_heat,100
LQHtransmission306_to_LQHtransmission178_heat,100
LQHtransmission178_to_LQHtransmission163_heat,100
LQHtransmission163_to_LQHtransmission1825_heat,100
LQHtransmission1825_to_LQHtransmission1302_heat,100
LQHtransmission1302_to_LQHtransmission346_heat,100
LQHtransmission346_to_LQHtransmission1856_heat,100
LQHtransmission1856_to_LQHtransmission1481_heat,100
LQHtransmission1481_to_LQHtransmission615_heat,100
LQHtransmission615_to_LQHtransmission759_heat,100
LQHtransmission759_to_LQHtransmission1869_heat,100
LQHtransmission1908_to_LQHtransmission1179_heat,100
LQHtransmission1179_to_LQHtransmission910_heat,100
LQHtransmission910_to_LQHtransmission1101_heat,100
LQHtransmission1101_to_LQHtransmission987_heat,100
LQHtransmission987_to_LQHtransmission437_heat,100
LQHtransmission437_to_LQHtransmission844_heat,100
LQHtransmission1172_to_LQHtransmission1819_heat,100
LQHtransmission1819_to_LQHtransmission1367_heat,100
LQHtransmission1367_to_LQHtransmission17_heat,100
LQHtransmission17_to_LQHtransmission1121_heat,100
LQHtransmission1121_to_LQHtransmission740_heat,100
LQHtransmission740_to_LQHtransmission1321_heat,100
LQHtransmission1321_to_LQHtransmission924_heat,100
