id,Warmtevraag per m2,Warmtevraag,Bouwjaar
0503100000020133,68066.35631826663,7747993.339708289,1966
0503100000020145,87481.94100401925,10113787.199474664,1966
0503100000020146,83809.75873399945,9540064.836691158,1966
0503100000020147,95356.20782167724,11024131.186264105,1966
0503100000020148,66335.46557310765,7550966.046186844,1966
0503100000020149,75091.8562251033,8547705.994103508,1966
0503100000020157,83671.51929580439,9673264.345787946,1966
0503100000020158,84606.15290552426,9781317.33740766,1966
0503100000020159,78333.58210580415,8916711.651103687,1966
0503100000020165,92934.76343873014,10744188.001151592,1966
0503100000028572,77165.45938723849,8783744.242049357,1967
0503100000028573,77232.61743340731,8791388.842444755,1967
0503100000028575,77461.4012928838,8817431.309168963,1967
0503100000030019,76429.72014561418,8836039.946034456,1966
0503100000030020,83393.81430425815,9641158.871715285,1966
0503100000030021,81977.32129218025,9477398.11458896,1966
0503100000030022,92347.2224804608,10676262.390966073,1966
0503100000030024,63507.799331210335,7229092.797871673,1966
0503100000030026,70071.0712669773,7976190.042320026,1966
0503100000030027,74592.14146638321,8490823.4631184,1966
0503100000030105,62121.137646865245,7071249.098342671,1967
0503100000030106,77435.79272736463,8814516.286155917,1967
0503100000030108,84171.67686416904,9581261.977448363,1967
0503100000030111,71837.78520402365,8177295.089774012,1967
0503100000030112,80149.96988932285,9266138.018904615,1967
0503100000030113,68032.74967356338,7744167.895341719,1967
0503100000030115,76792.78946633224,8741323.224952599,1967
0503100000030235,72127.59582908127,8210284.233224321,1966
0503100000030237,81843.94406196442,9461978.373003706,1967
0503100000030238,73992.23010544528,8422535.552902836,1966
0503100000030304,67723.06955801614,7708917.007788977,1966
0503100000030305,69127.23295418218,7868752.927174558,1966
0503100000031368,82803.32773871315,9572892.719872627,1966
0503100000031429,117143.70636741268,404848649.20577824,1966
0503100000031431,75329.16447320557,8574718.79198499,1966
0503100000031432,77791.92089826205,8855054.35584917,1966
0503100000031433,68916.56799837737,7844772.9352552965,1966
0503100000031434,67683.07674538634,7704364.625927327,1966
0503100000031435,85985.44238803063,9787722.907029526,1966
0503100000031436,85407.86898088822,9874003.732880486,1966
0503100000031438,94401.62146446452,10913771.457506744,1966
0503100000031439,75928.09303256912,8642894.829897342,1966
0503100000031440,70802.40939415403,8059438.261336554,1966
0503100000031441,68325.45150729509,7777486.145075399,1966
0503100000031442,71606.35348890345,8150951.217641879,1966
0503100000031455,75441.95990430159,8587558.29590665,1966
0503100000031457,90649.63306153641,10480004.078244224,1966
0503100000031822,79046.37423051469,9138551.324789803,1967
0503100000031824,138798.17006692334,479686475.7512871,1966
0503100000032612,80530.033706916,9310077.196856558,1966
0503100000032613,80797.0450277044,9340946.375652906,1966
0503100000032617,79671.83539844764,9069045.023405295,1966
0503100000032618,102512.95239170376,11851522.426004872,1966
