id,Warmtevraag,share,Peak heat demand (kW),lon,lat,addresses,nr_addresses,year_construction
0503100000014748,12208874.483162867,0.0014985279331631988,7.778825422257775,84267.5534,445726.2774,Willem Bilderdijkhof 157,1,1967
0503100000014835,10716536.060522048,0.001315357009820179,6.8279892025341775,84292.27514285714,445740.78571428574,Multatuliweg 14,1,1967
0503100000014836,9405159.452571085,0.0011543974978994512,5.9924519292047504,84265.6152,445732.11840000004,Willem Bilderdijkhof 158,1,1967
0503100000014837,13739321.471602071,0.0016863763352058662,8.753942330659683,84295.4184,445735.497,Multatuliweg 16,1,1967
0503100000014838,14132079.00685249,0.0017345837386274312,9.004185897681579,84254.0882,445766.855,Willem Bilderdijkhof 164,1,1967
0503100000014843,11477190.096764732,0.001408720351572522,7.312636248650316,84259.4254,445788.43159999995,Isaäc da Costalaan 6,1,1967
0503100000014847,9909936.029829646,0.0012163542165201265,6.314067887920212,84283.8988,445770.1688,Multatuliweg 4,1,1967
0503100000014848,11428203.718658004,0.0014027077206753282,7.281424814386948,84260.28511111111,445756.284,Willem Bilderdijkhof 162,1,1967
0503100000014850,11546875.631471636,0.001417273615056369,7.357036050588591,84254.290625,445784.083125,Isaäc da Costalaan 4,1,1967
0503100000014852,12898188.190295387,0.0015831349005191902,8.218018322172336,84277.3336,445792.57680000004,Isaäc da Costalaan 12,1,1967
0503100000014854,12465624.772104908,0.0015300416882073652,7.9424126290513835,84281.9516,445776.029,Multatuliweg 2,1,1967
0503100000015289,10680520.746156028,0.0013109364586323064,6.8050422188980235,84355.940625,445533.483,Multatuliweg 26,1,1967
0503100000015290,10801128.988400683,0.0013257400197814178,6.881887178046418,84359.24399999999,445497.6558333333,Herman Heyermanslaan 7,1,1967
0503100000015291,10692189.497453246,0.001312368691373181,6.812476907440525,84390.47219999999,445533.5006,Multatuliweg 43,1,1966
0503100000015292,11084046.648757013,0.0013604655808815683,7.062146799178619,84394.745,445522.1454,Multatuliweg 47,1,1966
0503100000015293,11261201.404305164,0.0013822097105347735,7.175020096224327,84354.82560000001,445540.1864,Multatuliweg 24,1,1967
0503100000015294,10856259.471069837,0.0013325067834468508,6.917013298862845,84359.124,445528.8121999999,Multatuliweg 28,1,1967
0503100000015295,10293386.506872758,0.001263419263476445,6.558381507747607,84361.2684,445523.1376,Multatuliweg 30,1,1967
0503100000015297,11482097.678881563,0.001409322712494203,7.315763090898131,84388.336,445539.17819999997,Multatuliweg 41,1,1966
0503100000015298,9962493.3289639,0.0012228051453877227,6.347554517272865,84418.1164,445543.97180000006,Busken Huetpad 8,1,1966
0503100000015299,12263045.419443376,0.0015051769212655742,7.81334017272617,84370.34850000001,445499.92699999997,Herman Heyermanslaan 11,1,1967
0503100000015300,9991867.043253522,0.0012264105007728124,6.3662698374915605,84396.8818,445516.46660000004,Multatuliweg 49,1,1966
0503100000015304,11841198.910023864,0.0014533991117103757,7.544562706278413,84386.199,445544.85719999997,Multatuliweg 39,1,1966
