techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
transmission3099_to_transmission1472_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1472,transmission3099
transmission3099_to_transmission1472_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1472,transmission3099
transmission1472_to_transmission2546_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2546,transmission1472
transmission1472_to_transmission2546_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2546,transmission1472
transmission2546_to_transmission875_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission875,transmission2546
transmission2546_to_transmission875_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission875,transmission2546
transmission875_to_transmission2512_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2512,transmission875
transmission875_to_transmission2512_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2512,transmission875
transmission2512_to_transmission1900_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1900,transmission2512
transmission2512_to_transmission1900_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1900,transmission2512
transmission1900_to_transmission1899_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1899,transmission1900
transmission1900_to_transmission1899_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1899,transmission1900
transmission1899_to_transmission2289_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2289,transmission1899
transmission1899_to_transmission2289_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2289,transmission1899
transmission2289_to_transmission2702_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2702,transmission2289
transmission2289_to_transmission2702_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2702,transmission2289
transmission2702_to_transmission3358_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3358,transmission2702
transmission2702_to_transmission3358_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3358,transmission2702
transmission3358_to_transmission1116_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1116,transmission3358
transmission3358_to_transmission1116_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1116,transmission3358
transmission1116_to_transmission3325_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3325,transmission1116
transmission1116_to_transmission3325_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3325,transmission1116
transmission3325_to_transmission1234_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1234,transmission3325
transmission3325_to_transmission1234_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1234,transmission3325
transmission1234_to_transmission1886_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1886,transmission1234
transmission1234_to_transmission1886_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1886,transmission1234
transmission1886_to_transmission1487_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1487,transmission1886
transmission1886_to_transmission1487_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1487,transmission1886
transmission1487_to_transmission2231_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2231,transmission1487
transmission1487_to_transmission2231_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2231,transmission1487
transmission2231_to_transmission1147_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1147,transmission2231
transmission2231_to_transmission1147_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1147,transmission2231
transmission1147_to_transmission2254_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2254,transmission1147
transmission1147_to_transmission2254_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2254,transmission1147
transmission2254_to_transmission3022_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3022,transmission2254
transmission2254_to_transmission3022_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3022,transmission2254
transmission3022_to_transmission1172_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1172,transmission3022
transmission3022_to_transmission1172_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1172,transmission3022
transmission1172_to_transmission1230_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1230,transmission1172
transmission1172_to_transmission1230_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1230,transmission1172
transmission1230_to_transmission1332_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1332,transmission1230
transmission1230_to_transmission1332_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1332,transmission1230
transmission1332_to_transmission995_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission995,transmission1332
transmission1332_to_transmission995_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission995,transmission1332
transmission995_to_transmission2432_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2432,transmission995
transmission995_to_transmission2432_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2432,transmission995
transmission2432_to_transmission2535_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2535,transmission2432
transmission2432_to_transmission2535_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2535,transmission2432
transmission2535_to_transmission2313_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2313,transmission2535
transmission2535_to_transmission2313_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2313,transmission2535
