techs,carrier_out,carrier_in
LVEtransmission497_to_LVEtransmission225_electricity,1,1
LVEtransmission225_to_LVEtransmission915_electricity,1,1
LVEtransmission915_to_LVEtransmission628_electricity,1,1
LVEtransmission149_to_LVEtransmission789_electricity,1,1
LVEtransmission789_to_LVEtransmission718_electricity,1,1
LVEtransmission718_to_LVEtransmission175_electricity,1,1
LVEtransmission175_to_LVEtransmission804_electricity,1,1
LVEtransmission804_to_LVEtransmission51_electricity,1,1
LVEtransmission51_to_LVEtransmission228_electricity,1,1
LVEtransmission228_to_LVEtransmission433_electricity,1,1
LVEtransmission433_to_LVEtransmission839_electricity,1,1
LVEtransmission839_to_LVEtransmission44_electricity,1,1
LVEtransmission44_to_LVEtransmission904_electricity,1,1
LVEtransmission904_to_LVEtransmission783_electricity,1,1
LVEtransmission783_to_LVEtransmission777_electricity,1,1
LVEtransmission777_to_LVEtransmission681_electricity,1,1
LVEtransmission681_to_LVEtransmission677_electricity,1,1
LVEtransmission677_to_LVEtransmission679_electricity,1,1
LVEtransmission679_to_LVEtransmission458_electricity,1,1
LVEtransmission458_to_LVEtransmission890_electricity,1,1
LVEtransmission890_to_LVEtransmission775_electricity,1,1
LVEtransmission775_to_LVEtransmission546_electricity,1,1
LVEtransmission546_to_LVEtransmission553_electricity,1,1
LVEtransmission553_to_LVEtransmission378_electricity,1,1
LVEtransmission378_to_LVEtransmission805_electricity,1,1
LVEtransmission805_to_LVEtransmission647_electricity,1,1
LVEtransmission647_to_LVEtransmission67_electricity,1,1
LVEtransmission67_to_LVEtransmission107_electricity,1,1
LVEtransmission107_to_LVEtransmission523_electricity,1,1
LVEtransmission523_to_LVEtransmission515_electricity,1,1
LVEtransmission515_to_LVEtransmission918_electricity,1,1
LVEtransmission918_to_LVEtransmission942_electricity,1,1
LVEtransmission942_to_LVEtransmission440_electricity,1,1
LVEtransmission440_to_LVEtransmission734_electricity,1,1
LVEtransmission734_to_LVEtransmission239_electricity,1,1
LVEtransmission190_to_LVEtransmission73_electricity,1,1
LVEtransmission73_to_LVEtransmission35_electricity,1,1
LVEtransmission35_to_LVEtransmission463_electricity,1,1
LVEtransmission463_to_LVEtransmission179_electricity,1,1
LVEtransmission179_to_LVEtransmission882_electricity,1,1
LVEtransmission882_to_LVEtransmission583_electricity,1,1
LVEtransmission583_to_LVEtransmission863_electricity,1,1
LVEtransmission863_to_LVEtransmission419_electricity,1,1
LVEtransmission419_to_LVEtransmission370_electricity,1,1
LVEtransmission370_to_LVEtransmission155_electricity,1,1
LVEtransmission155_to_LVEtransmission321_electricity,1,1
LVEtransmission321_to_LVEtransmission41_electricity,1,1
LVEtransmission568_to_LVEtransmission788_electricity,1,1
LVEtransmission788_to_LVEtransmission39_electricity,1,1
LVEtransmission39_to_LVEtransmission537_electricity,1,1
LVEtransmission537_to_LVEtransmission208_electricity,1,1
LVEtransmission208_to_LVEtransmission9_electricity,1,1
LVEtransmission9_to_LVEtransmission730_electricity,1,1
LVEtransmission730_to_LVEtransmission476_electricity,1,1
LVEtransmission476_to_LVEtransmission698_electricity,1,1
LVEtransmission698_to_LVEtransmission108_electricity,1,1
LVEtransmission108_to_LVEtransmission144_electricity,1,1
LVEtransmission144_to_LVEtransmission332_electricity,1,1
LVEtransmission332_to_LVEtransmission356_electricity,1,1
LVEtransmission356_to_LVEtransmission13_electricity,1,1
LVEtransmission13_to_LVEtransmission259_electricity,1,1
LVEtransmission259_to_LVEtransmission14_electricity,1,1
LVEtransmission14_to_LVEtransmission811_electricity,1,1
LVEtransmission811_to_LVEtransmission35_electricity,1,1
LVEtransmission35_to_LVEtransmission943_electricity,1,1
LVEtransmission943_to_LVEtransmission428_electricity,1,1
LVEtransmission73_to_LVEtransmission428_electricity,1,1
LVEtransmission18_to_LVEtransmission758_electricity,1,1
LVEtransmission758_to_LVEtransmission699_electricity,1,1
LVEtransmission699_to_LVEtransmission133_electricity,1,1
LVEtransmission133_to_LVEtransmission682_electricity,1,1
LVEtransmission682_to_LVEtransmission590_electricity,1,1
LVEtransmission590_to_LVEtransmission923_electricity,1,1
LVEtransmission923_to_LVEtransmission773_electricity,1,1
LVEtransmission773_to_LVEtransmission285_electricity,1,1
LVEtransmission285_to_LVEtransmission134_electricity,1,1
LVEtransmission134_to_LVEtransmission660_electricity,1,1
LVEtransmission660_to_LVEtransmission368_electricity,1,1
LVEtransmission368_to_LVEtransmission284_electricity,1,1
LVEtransmission284_to_LVEtransmission146_electricity,1,1
LVEtransmission146_to_LVEtransmission203_electricity,1,1
LVEtransmission203_to_LVEtransmission402_electricity,1,1
LVEtransmission402_to_LVEtransmission725_electricity,1,1
LVEtransmission59_to_LVEtransmission393_electricity,1,1
LVEtransmission393_to_LVEtransmission125_electricity,1,1
LVEtransmission125_to_LVEtransmission798_electricity,1,1
LVEtransmission798_to_LVEtransmission77_electricity,1,1
LVEtransmission77_to_LVEtransmission169_electricity,1,1
LVEtransmission169_to_LVEtransmission652_electricity,1,1
LVEtransmission652_to_LVEtransmission440_electricity,1,1
LVEtransmission440_to_LVEtransmission43_electricity,1,1
LVEtransmission504_to_LVEtransmission690_electricity,1,1
LVEtransmission690_to_LVEtransmission45_electricity,1,1
LVEtransmission45_to_LVEtransmission898_electricity,1,1
LVEtransmission898_to_LVEtransmission269_electricity,1,1
LVEtransmission269_to_LVEtransmission854_electricity,1,1
