techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
LVEtransmission951_to_LVEtransmission453_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission453,LVEtransmission951
LVEtransmission453_to_LVEtransmission625_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission625,LVEtransmission453
LVEtransmission625_to_LVEtransmission607_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission607,LVEtransmission625
LVEtransmission607_to_LVEtransmission838_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission838,LVEtransmission607
LVEtransmission838_to_LVEtransmission954_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission954,LVEtransmission838
LVEtransmission954_to_LVEtransmission648_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission648,LVEtransmission954
LVEtransmission648_to_LVEtransmission933_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission933,LVEtransmission648
LVEtransmission1023_to_LVEtransmission15_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission15,LVEtransmission1023
LVEtransmission15_to_LVEtransmission379_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission379,LVEtransmission15
LVEtransmission379_to_LVEtransmission910_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission910,LVEtransmission379
LVEtransmission910_to_LVEtransmission1038_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1038,LVEtransmission910
LVEtransmission1038_to_LVEtransmission656_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission656,LVEtransmission1038
LVEtransmission656_to_LVEtransmission790_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission790,LVEtransmission656
LVEtransmission790_to_LVEtransmission792_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission792,LVEtransmission790
LVEtransmission792_to_LVEtransmission265_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission265,LVEtransmission792
LVEtransmission265_to_LVEtransmission269_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission269,LVEtransmission265
LVEtransmission269_to_LVEtransmission1022_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1022,LVEtransmission269
LVEtransmission1022_to_LVEtransmission974_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission974,LVEtransmission1022
LVEtransmission974_to_LVEtransmission989_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission989,LVEtransmission974
