techs,carrier_out,carrier_in
LQHtransmission796_to_LQHtransmission268_heat,1,1
LQHtransmission268_to_LQHtransmission277_heat,1,1
LQHtransmission277_to_LQHtransmission282_heat,1,1
LQHtransmission283_to_LQHtransmission422_heat,1,1
LQHtransmission422_to_LQHtransmission843_heat,1,1
LQHtransmission843_to_LQHtransmission542_heat,1,1
LQHtransmission542_to_LQHtransmission794_heat,1,1
LQHtransmission794_to_LQHtransmission18_heat,1,1
LQHtransmission18_to_LQHtransmission99_heat,1,1
LQHtransmission99_to_LQHtransmission172_heat,1,1
LQHtransmission172_to_LQHtransmission722_heat,1,1
LQHtransmission722_to_LQHtransmission214_heat,1,1
LQHtransmission214_to_LQHtransmission773_heat,1,1
LQHtransmission773_to_LQHtransmission21_heat,1,1
LQHtransmission21_to_LQHtransmission346_heat,1,1
LQHtransmission346_to_LQHtransmission227_heat,1,1
LQHtransmission227_to_LQHtransmission658_heat,1,1
LQHtransmission658_to_LQHtransmission185_heat,1,1
LQHtransmission185_to_LQHtransmission369_heat,1,1
LQHtransmission369_to_LQHtransmission29_heat,1,1
LQHtransmission29_to_LQHtransmission235_heat,1,1
LQHtransmission235_to_LQHtransmission328_heat,1,1
LQHtransmission328_to_LQHtransmission813_heat,1,1
LQHtransmission813_to_LQHtransmission704_heat,1,1
LQHtransmission370_to_LQHtransmission815_heat,1,1
LQHtransmission815_to_LQHtransmission785_heat,1,1
LQHtransmission785_to_LQHtransmission146_heat,1,1
LQHtransmission146_to_LQHtransmission307_heat,1,1
LQHtransmission307_to_LQHtransmission470_heat,1,1
LQHtransmission470_to_LQHtransmission844_heat,1,1
LQHtransmission844_to_LQHtransmission684_heat,1,1
LQHtransmission684_to_LQHtransmission567_heat,1,1
LQHtransmission567_to_LQHtransmission756_heat,1,1
LQHtransmission756_to_LQHtransmission500_heat,1,1
LQHtransmission352_to_LQHtransmission11_heat,1,1
LQHtransmission11_to_LQHtransmission480_heat,1,1
LQHtransmission480_to_LQHtransmission51_heat,1,1
LQHtransmission51_to_LQHtransmission210_heat,1,1
LQHtransmission824_to_LQHtransmission389_heat,1,1
LQHtransmission126_to_LQHtransmission284_heat,1,1
LQHtransmission284_to_LQHtransmission43_heat,1,1
LQHtransmission43_to_LQHtransmission600_heat,1,1
LQHtransmission600_to_LQHtransmission726_heat,1,1
LQHtransmission726_to_LQHtransmission547_heat,1,1
LQHtransmission547_to_LQHtransmission143_heat,1,1
LQHtransmission143_to_LQHtransmission529_heat,1,1
LQHtransmission529_to_LQHtransmission241_heat,1,1
LQHtransmission241_to_LQHtransmission347_heat,1,1
LQHtransmission347_to_LQHtransmission359_heat,1,1
LQHtransmission359_to_LQHtransmission708_heat,1,1
LQHtransmission708_to_LQHtransmission578_heat,1,1
LQHtransmission578_to_LQHtransmission524_heat,1,1
LQHtransmission524_to_LQHtransmission415_heat,1,1
LQHtransmission415_to_LQHtransmission688_heat,1,1
LQHtransmission688_to_LQHtransmission489_heat,1,1
LQHtransmission489_to_LQHtransmission9_heat,1,1
LQHtransmission9_to_LQHtransmission67_heat,1,1
LQHtransmission67_to_LQHtransmission58_heat,1,1
LQHtransmission58_to_LQHtransmission112_heat,1,1
LQHtransmission112_to_LQHtransmission696_heat,1,1
LQHtransmission696_to_LQHtransmission789_heat,1,1
LQHtransmission789_to_LQHtransmission105_heat,1,1
LQHtransmission105_to_LQHtransmission163_heat,1,1
LQHtransmission163_to_LQHtransmission640_heat,1,1
LQHtransmission640_to_LQHtransmission165_heat,1,1
LQHtransmission165_to_LQHtransmission425_heat,1,1
LQHtransmission425_to_LQHtransmission443_heat,1,1
LQHtransmission443_to_LQHtransmission805_heat,1,1
LQHtransmission805_to_LQHtransmission705_heat,1,1
LQHtransmission705_to_LQHtransmission702_heat,1,1
LQHtransmission702_to_LQHtransmission6_heat,1,1
LQHtransmission6_to_LQHtransmission192_heat,1,1
LQHtransmission192_to_LQHtransmission210_heat,1,1
LQHtransmission681_to_LQHtransmission195_heat,1,1
LQHtransmission195_to_LQHtransmission100_heat,1,1
LQHtransmission100_to_LQHtransmission82_heat,1,1
LQHtransmission82_to_LQHtransmission234_heat,1,1
LQHtransmission234_to_LQHtransmission108_heat,1,1
LQHtransmission108_to_LQHtransmission131_heat,1,1
LQHtransmission131_to_LQHtransmission461_heat,1,1
LQHtransmission461_to_LQHtransmission173_heat,1,1
LQHtransmission173_to_LQHtransmission186_heat,1,1
LQHtransmission186_to_LQHtransmission132_heat,1,1
LQHtransmission132_to_LQHtransmission295_heat,1,1
LQHtransmission295_to_LQHtransmission772_heat,1,1
LQHtransmission772_to_LQHtransmission89_heat,1,1
LQHtransmission89_to_LQHtransmission841_heat,1,1
LQHtransmission841_to_LQHtransmission512_heat,1,1
LQHtransmission512_to_LQHtransmission258_heat,1,1
LQHtransmission258_to_LQHtransmission619_heat,1,1
LQHtransmission619_to_LQHtransmission824_heat,1,1
LQHtransmission210_to_LQHtransmission704_heat,1,1
LQHtransmission777_to_LQHtransmission193_heat,1,1
LQHtransmission193_to_LQHtransmission25_heat,1,1
LQHtransmission25_to_LQHtransmission154_heat,1,1
LQHtransmission154_to_LQHtransmission429_heat,1,1
LQHtransmission429_to_LQHtransmission638_heat,1,1
